[ 1667.510532] loop_size:272 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.510901] loop_size:273 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.511271] loop_size:274 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.511642] loop_size:275 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.512012] loop_size:276 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.512383] loop_size:277 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.512754] loop_size:278 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.513140] loop_size:279 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.513511] loop_size:280 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.513881] loop_size:281 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.514250] loop_size:282 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.514618] loop_size:283 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.514987] loop_size:284 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.515356] loop_size:285 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.515728] loop_size:286 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.516098] loop_size:287 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.516469] loop_size:288 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.516838] loop_size:289 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.517218] loop_size:290 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.517588] loop_size:291 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.517960] loop_size:292 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.518329] loop_size:293 >>>> variance(cycles): 0; max_deviation: 104; min time: 44
[ 1667.518698] loop_size:294 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.519067] loop_size:295 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.519437] loop_size:296 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.519809] loop_size:297 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.520181] loop_size:298 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.520552] loop_size:299 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.520923] loop_size:300 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.521312] loop_size:301 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.521683] loop_size:302 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.522052] loop_size:303 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.522423] loop_size:304 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.522789] loop_size:305 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.523159] loop_size:306 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.523529] loop_size:307 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.523900] loop_size:308 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.524269] loop_size:309 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.524641] loop_size:310 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
