[  119.281603] loop_size:229 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.281983] loop_size:230 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.282352] loop_size:231 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[  119.282721] loop_size:232 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.283089] loop_size:233 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.283455] loop_size:234 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.283827] loop_size:235 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.284199] loop_size:236 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.284569] loop_size:237 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.284939] loop_size:238 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.285308] loop_size:239 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.285691] loop_size:240 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[  119.286062] loop_size:241 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.286432] loop_size:242 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.286801] loop_size:243 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.287171] loop_size:244 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[  119.287540] loop_size:245 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.287910] loop_size:246 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.288282] loop_size:247 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.288654] loop_size:248 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.289023] loop_size:249 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.289395] loop_size:250 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[  119.289777] loop_size:251 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.290147] loop_size:252 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.290515] loop_size:253 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.290884] loop_size:254 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[  119.291250] loop_size:255 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.291621] loop_size:256 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.291991] loop_size:257 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[  119.292363] loop_size:258 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.292733] loop_size:259 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.293104] loop_size:260 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[  119.293476] loop_size:261 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.293876] loop_size:262 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.294244] loop_size:263 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.294614] loop_size:264 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[  119.294983] loop_size:265 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.295353] loop_size:266 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.295723] loop_size:267 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.296095] loop_size:268 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.296467] loop_size:269 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.296834] loop_size:270 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.297203] loop_size:271 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.297586] loop_size:272 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.297957] loop_size:273 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.298326] loop_size:274 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[  119.298695] loop_size:275 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.299065] loop_size:276 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.299431] loop_size:277 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.299801] loop_size:278 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.300174] loop_size:279 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.300547] loop_size:280 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.300916] loop_size:281 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.301286] loop_size:282 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[  119.301667] loop_size:283 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.302038] loop_size:284 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.302407] loop_size:285 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.302778] loop_size:286 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.303147] loop_size:287 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.303518] loop_size:288 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.303888] loop_size:289 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.304260] loop_size:290 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.304627] loop_size:291 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[  119.304998] loop_size:292 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.305367] loop_size:293 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.305749] loop_size:294 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.306120] loop_size:295 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.306491] loop_size:296 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.306862] loop_size:297 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.307230] loop_size:298 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.307599] loop_size:299 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.307969] loop_size:300 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.308340] loop_size:301 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.308713] loop_size:302 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.309082] loop_size:303 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.309452] loop_size:304 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.309840] loop_size:305 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.310207] loop_size:306 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.310577] loop_size:307 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.310948] loop_size:308 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.311317] loop_size:309 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.311687] loop_size:310 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.312058] loop_size:311 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.312431] loop_size:312 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.312802] loop_size:313 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.313174] loop_size:314 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.313557] loop_size:315 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.313928] loop_size:316 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.314297] loop_size:317 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.314669] loop_size:318 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[  119.315038] loop_size:319 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.315409] loop_size:320 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[  119.315778] loop_size:321 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.316152] loop_size:322 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.316522] loop_size:323 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.316891] loop_size:324 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
